model,website,newsPageUrl,success,discoveryMethod
"ollama/gpt-oss:20b","https://www.apple.com","https://www.apple.com/newsroom/topics/company-news/",true,"search"
"ollama/gpt-oss:20b","https://www.amgen.com","https://www.amgen.com/newsroom/press-releases",true,"search"
"ollama/gpt-oss:20b","https://www.amazon.com","https://aws.amazon.com/new/",true,"search"
"ollama/gpt-oss:20b","https://www.thewaltdisneycompany.com","https://thewaltdisneycompany.com/news",true,"search"
"ollama/gpt-oss:20b","https://www.honeywell.com","https://www.honeywell.com/us/en/press",true,"search"
"ollama/gpt-oss:20b","https://www.cisco.com","https://newsroom.cisco.com/c/r/newsroom/en/us/index.html",true,"search"
"ollama/gpt-oss:20b","https://www.salesforce.com","https://www.salesforce.com/news/content-types/press-releases",true,"search"
"ollama/gpt-oss:20b","https://www.3m.com","https://news.3m.com/press-releases",true,"search"
"ollama/gpt-oss:20b","https://www.americanexpress.com","https://www.americanexpress.com/en-us/company/",true,"search"
"ollama/gpt-oss:20b","https://www.chevron.com","https://www.chevron.com/newsroom",true,"search"
"ollama/gpt-oss:20b","https://www.caterpillar.com","https://www.caterpillar.com/en/news/caterpillarNews.html",true,"homepage"
"ollama/gpt-oss:20b","https://www.coca-colacompany.com","https://investors.coca-colacompany.com/news-events/press-releases",true,"search"
"ollama/gpt-oss:20b","https://investors.nike.com","https://investors.nike.com/investors/news-events-and-reports",true,"search"
"ollama/gpt-oss:20b","https://www.homedepot.com","",false,""
"ollama/gpt-oss:20b","https://www.jpmorganchase.com","https://www.jpmorganchase.com/newsroom/press-releases",true,"homepage"
"ollama/gpt-oss:20b","https://www.boeing.com","https://services.boeing.com/news",true,"search"
"ollama/gpt-oss:20b","https://www.goldmansachs.com","https://www.goldmansachs.com/pressroom",true,"search"
"ollama/gpt-oss:20b","https://www.ibm.com","https://newsroom.ibm.com/announcements",true,"search"
"ollama/gpt-oss:20b","https://www.jnj.com","https://www.jnj.com/latest-news",true,"search"
"ollama/gpt-oss:20b","https://www.microsoft.com","https://news.microsoft.com/source/?icid=DSM_Footer_Company_CompanyNews",true,"homepage"
"ollama/gpt-oss:20b","https://corporate.walmart.com","https://corporate.walmart.com/content/corporate/en_us/news.html",true,"homepage"
"ollama/gpt-oss:20b","https://www.merck.com","https://www.merck.com/media/news/",true,"search"
"ollama/gpt-oss:20b","https://corporate.mcdonalds.com","https://corporate.mcdonalds.com/corpmcd/our-stories/press-releases.html",true,"search"
"ollama/gpt-oss:20b","https://www.nvidia.com","https://nvidianews.nvidia.com/",true,"search"
"ollama/gpt-oss:20b","https://www.travelers.com","https://investor.travelers.com/newsroom/newsroom-overview/default.aspx",true,"search"
"ollama/gpt-oss:20b","https://www.pginvestor.com","https://www.pginvestor.com/news/default.aspx",true,"search"
"ollama/gpt-oss:20b","https://www.sherwin-williams.com","https://corporate.sherwin-williams.com/us/en/media-center/press-releases.html",true,"search"
"ollama/gpt-oss:20b","https://www.verizon.com","https://www.verizon.com/about/news/press-releases",true,"search"
"ollama/gpt-oss:20b","https://www.unitedhealthgroup.com","https://www.unitedhealthgroup.com/newsroom/news.html",true,"search"
"ollama/gpt-oss:20b","https://usa.visa.com","https://usa.visa.com/about-visa/newsroom.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.apple.com","https://www.apple.com/newsroom/topics/company-news/",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.amgen.com","https://www.amgen.com/newsroom/press-releases",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.amazon.com","https://aws.amazon.com/blogs/aws/category/post-types/announcements/",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.thewaltdisneycompany.com","https://thewaltdisneycompany.com/news/",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.honeywell.com","https://www.honeywell.com/us/en/press",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.cisco.com","https://newsroom.cisco.com/c/r/newsroom/en/us/index.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.salesforce.com","https://www.salesforce.com/news/",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.3m.com","https://news.3m.com/press-releases",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.americanexpress.com","https://www.americanexpress.com/en-us/newsroom.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.chevron.com","https://www.chevron.com/newsroom",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.caterpillar.com","https://www.caterpillar.com/en/news.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.coca-colacompany.com","https://investors.coca-colacompany.com/news-events/press-releases",true,"search"
"anthropic/claude-3-haiku-20240307","https://investors.nike.com","https://investors.nike.com/investors/news-events-and-reports",true,"search"
